Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ExitRates,PageValues,SpecialDay,Weekend,OperatingSystems_2,OperatingSystems_3,OperatingSystems_Other,Browser_2,Browser_Other,Region_3,Region_Other,TrafficType_2,TrafficType_3,TrafficType_Other,Revenue
0.0,0.0,0.0,0.0,0.2895447173444671,0.5276859397909461,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0
0.0,0.0,0.0,0.0,0.6751171295572521,0.051944413904662756,0.9944944060818672,0.0,0,1,0,0,1,0,0,0,1,0,0,1
0.7953208531364715,0.7454555830831753,0.9224973843576655,0.990279118615272,0.41434173832833765,0.2983461829010019,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0
0.7953208531364715,0.7666751111588531,0.0,0.0,0.40456009785430513,0.8497399689371345,0.0,0.0,0,0,1,0,1,0,0,1,0,1,0,0
0.0,0.0,0.0,0.0,0.3096300675496747,0.5799048802256069,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,0.0,0.9826422233302372,0.9923406967676902,0.5378115167251635,0.03100494912507712,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.10246461450935013,0.895958648067503,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,0.0,0.0,0.0,0.23905757997177052,1.0000000000000002,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0
0.7650768473752257,0.7158370230315967,0.9826422233302372,0.9953755546989026,0.6933062645610426,0.26178768233757777,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0
0.8598857302857538,0.6128011423864375,0.9224973843576655,0.9939839337097403,0.6525084779405594,0.38570634939409937,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.20567283817861695,0.9550139697458125,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
0.9239268574151303,0.8261977424302183,0.0,0.0,0.7109959704060042,0.4283365676426326,0.9789645392227393,0.0,0,1,0,0,1,0,1,0,0,1,0,0
0.7650768473752257,0.6633688238577176,0.0,0.0,0.6420252668199171,0.12445249906967432,0.0,0.0,1,1,0,0,1,0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,0.6420252668199171,0.17862491921945867,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0
0.6142120887732984,0.7156806816183516,0.9826422233302372,0.9879617092721277,0.5290744913746882,0.1624197122955659,0.0,0.0,0,1,0,0,0,1,1,0,1,0,0,0
0.0,0.0,0.9224973843576655,0.0,0.34325709005522664,0.8106635998908167,0.0,0.9999969399792072,0,0,0,1,0,0,0,0,0,1,0,0
0.3591665742723996,0.605258681983792,0.9939992634841912,0.9881801967836915,0.41434173832833765,0.22218791374169733,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
0.3591665742723996,0.4682534929792669,0.0,0.0,0.4627040239600487,0.3388918929355893,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.20567283817861695,1.0000000000000002,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.32736984110497175,0.9723636021908952,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0
0.3591665742723996,0.4927017962009295,0.0,0.0,0.41434173832833765,0.4745554574316265,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0,0
0.0,0.0,0.0,0.0,0.37079053594151595,0.18592059472883088,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.6142120887732984,0.6415036531517235,0.9826422233302372,0.8936666391993738,0.482162800579637,0.28445035407871216,0.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0
0.8899058651916059,0.8480058825187329,0.0,0.0,0.667939237319952,0.22368557617823287,0.9938712856194686,0.0,0,1,0,0,1,0,0,1,0,0,1,0
0.6142120887732984,0.5879639981981651,0.0,0.0,0.7833620131212238,0.22927046447798402,0.9868879032318791,0.0,0,1,0,0,0,1,0,1,0,0,1,0
0.0,0.0,0.0,0.0,0.23905757997177052,0.895958648067503,0.0,0.0,0,1,0,0,1,0,1,0,0,1,0,0
0.0,0.0,0.0,0.0,0.5460808298602133,0.24039935527487086,0.0,0.9992574716528573,0,1,0,0,1,0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,0.5685265874764319,0.5101826951468115,0.9605821354812422,0.0,0,1,0,0,0,1,0,0,0,0,1,1
0.0,0.0,0.0,0.0,0.382894805971822,0.9438446399188115,0.0,0.999957785904151,0,1,0,0,0,1,0,0,0,1,0,0
0.3591665742723996,0.4087889663890366,0.0,0.0,0.44041998670264904,0.10708516301609378,0.0,0.0,0,1,0,0,0,1,0,1,1,0,0,0
0.0,0.0,0.0,0.0,0.5149656531164877,0.561623744196619,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.3591665742723996,0.6883151196535044,0.0,0.0,0.4694675218893237,0.4960291563074727,0.991438430463107,0.0,1,0,0,0,0,0,1,0,0,0,1,1
0.3591665742723996,0.5951114428147136,0.0,0.0,0.4235361778821543,0.23356445497344996,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0
0.3591665742723996,0.5242072393662431,0.0,0.0,0.5911651485183995,0.20842466903045165,0.9965158846175217,0.0,0,1,0,0,0,1,1,0,0,0,1,1
0.9417297203423447,0.7682541188860843,0.9826422233302372,0.9883913108545186,0.5881265808917336,0.43158241878671877,0.8341810691507271,0.0,0,0,1,0,1,0,0,0,0,0,1,0
0.8899058651916059,0.8220797312198636,0.0,0.0,0.5500553105735658,0.29776303244627167,0.9913927189793519,0.0,0,0,1,0,1,0,0,0,0,0,1,0
0.3591665742723996,0.5176370767968721,0.0,0.0,0.32736984110497175,0.2024501703325972,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0
0.5188301898780046,0.4810865229068032,0.0,0.0,0.34325709005522664,0.12824597796550624,0.0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
0.6142120887732984,0.7016170926485419,0.0,0.0,0.482162800579637,0.33443202333535926,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.8203916460979612,0.7321157696366576,0.9826422233302372,0.9529112406777256,0.5881265808917336,0.476929187390978,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0
0.5188301898780046,0.6588773142544753,0.9224973843576655,0.9923785200506178,0.5881265808917336,0.3566024696771069,0.9610364203375727,0.9999969399792072,0,0,0,0,0,0,0,1,1,0,0,0
0.3591665742723996,0.26793739487438933,0.0,0.0,0.4938903190815234,0.0922872456262841,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0
0.8416152499470986,0.7261119138976575,0.0,0.0,0.5460808298602133,0.2461600654418017,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0
0.3591665742723996,0.5007384697474506,0.0,0.0,0.5786362988659886,0.1345755026837453,0.9988813681251814,0.0,0,1,0,0,1,0,0,1,0,0,1,1
0.8758307953399371,0.7544182498376902,0.0,0.0,0.7576527565136961,0.25971288669803755,0.4420935725555379,0.999957785904151,0,0,0,0,0,0,1,0,0,0,0,0
0.3591665742723996,0.3189916579287984,0.9224973843576655,0.0,0.5753391696582283,0.6805722922323092,0.9967185822372242,0.9992574716528573,0,0,1,0,1,0,0,0,0,0,0,0
0.3591665742723996,0.5401311133737526,0.0,0.0,0.5335047687795096,0.5465607581696332,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1
0.6794059422822234,0.6707863377599194,0.0,0.0,0.34325709005522664,0.32217158354456743,0.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0
